protein,degree,eigenvector,katz,page rank,betweenness,subgraph,closeness
YJL190C,326.0,0.07341613292018485,0.06623272181544998,0.0005852475489422985,0.0011140303618449908,6.566153106220579e+91,0.32612548741581
YMR054W,25.0,0.00014499856040877065,0.0051737921303770485,0.0001832056764392009,8.928428895195846e-05,2.562392819302993e+86,0.2554491184228794
YBR283C,122.0,0.03209132828526832,0.03111872485093206,0.00026581919107936857,0.0005210884416505145,1.2548430932621928e+91,0.2956456536875368
YMR176W,24.0,0.0008238812810771915,0.005704203609622069,0.00016317512008849917,0.0006335492221398436,8.27050592290323e+87,0.28696194635059263
YOR063W,376.0,0.07628228954642247,0.06930164717460072,0.0007462754496014301,0.006739153694773209,7.089525851425078e+91,0.3391913481627135
YGR220C,308.0,0.06499165798785646,0.05941981048802487,0.0006264858431536004,0.00358313683417179,5.1467148679275345e+91,0.32808320950965825
YLR388W,290.0,0.06799894331405268,0.06121434544046991,0.0005288570764456312,0.0009133206656576312,5.633830622556275e+91,0.3250117757889779
YJR119C,29.0,0.0008665197928845008,0.005867249972209303,0.00017221276148746974,0.0006792949561910799,9.148484430250582e+87,0.28667878473123865
YLR367W,286.0,0.06850102588209306,0.061780927125439145,0.0005018409930968452,0.0005692942522096329,5.7163926170350564e+91,0.32104222403163896
YEL050C,269.0,0.06073847046802403,0.05548496704451404,0.000520751450042659,0.002876751581959974,4.495151183592359e+91,0.32505005299729123
YHR038W,129.0,0.03139816777722472,0.030751514925801207,0.00025095792087038814,8.703558320766339e-05,1.2012619739142924e+91,0.2959309494451295
YEL027W,36.0,0.0003442628970730598,0.005569820988497551,0.00023949983061304138,0.0003157566508484717,1.4443670269866485e+87,0.26369846653609136
YOR270C,38.0,0.00015700477669241403,0.0054570175319280795,0.0002879656996417348,0.0026019065346332246,3.0042936590775e+86,0.2753391859537111
YPR166C,254.0,0.059328588442277334,0.054096064954641865,0.00046407170485530453,0.0006121760353656184,4.2888972821477015e+91,0.3150505108155927
YPL013C,183.0,0.035538965542199326,0.035006026896070526,0.0003834862381311109,0.00073469192711412,1.5390393025835565e+91,0.3088803088803089
YOL127W,372.0,0.07547471276917529,0.0686019217922396,0.0007562298376714649,0.005389546228531515,6.94009710025518e+91,0.33769729597455034
YKL011C,4.0,5.2971887200466527e-05,0.004648247612659576,5.896162828271882e-05,1.6336415893042794e-05,3.4215690455902304e+85,0.21908239403079854
YDR263C,19.0,6.362167495939571e-05,0.0050363892993973225,0.00013447927318544975,0.000774834641146771,4.931402446295006e+85,0.25937411897378065
